doctor_id,first_name,last_name,start_work_date,date_of_birth,gender
215756209,Uri,Asulin,1977-01-13,1951-01-13,male
367265964,Avigail,Salomon,1992-05-01,1992-05-01,female
304517215,Reuven,Huri,1965-09-13,1965-09-13,male
378453217,Tova,Sharabi,1957-11-28,1957-11-28,female
212269414,Daniel,Yosef,1950-07-12,1950-07-12,male
274102263,Anat,Lavie,1984-09-27,1984-09-27,female
368259435,Omer,Kaplan,1975-10-04,1975-10-04,male
270459031,Tali,Biton,1986-10-10,1986-10-10,female
327231277,Eran,Sulimani,1982-12-12,1982-12-12,male
256288557,Sigal,Shemesh,1962-12-19,1962-12-19,female
